Date	Open	High	Low	Close	Adj Close	Volume
2022-01-21	147.5	147.50999450683594	144.27000427246094	145.0800018310547	133.4949493408203	20705400
2022-01-24	142.27999877929688	145.47999572753906	139.57000732421875	144.9499969482422	133.3753204345703	28471400
2022-01-25	143.64999389648438	146.85000610351562	140.7899932861328	146.52999877929688	134.82916259765625	18915900
2022-01-26	148.72000122070312	150.57000732421875	145.9600067138672	147.9199981689453	136.10812377929688	20709100
2022-01-27	149.4199981689453	150.3800048828125	144.1300048828125	145.30999755859375	133.7065887451172	17536800
2022-01-28	144.19000244140625	146.75999450683594	142.1699981689453	146.61000061035156	134.9027557373047	14117000
2022-01-31	145.63999938964844	148.7899932861328	144.6699981689453	148.60000610351562	136.73385620117188	13985700
2022-02-01	148.69000244140625	151.47000122070312	148.3000030517578	151.14999389648438	139.08023071289062	14584900
2022-02-02	150.5	150.94000244140625	148.07000732421875	149.94000244140625	137.9668731689453	12441100
2022-02-03	150.0	151.64999389648438	148.2899932861328	148.6999969482422	136.82586669921875	12474900
2022-02-04	149.10000610351562	153.5	148.77000427246094	152.55999755859375	140.37765502929688	16654400
2022-02-07	153.27000427246094	153.6199951171875	150.85000610351562	153.07000732421875	140.84690856933594	12572300
2022-02-08	155.0	158.47999572753906	154.8000030517578	155.9499969482422	143.4969482421875	20411400
2022-02-09	156.58999633789062	157.42999267578125	155.82000732421875	156.60000610351562	144.09503173828125	9131100
2022-02-10	156.66000366210938	159.02999877929688	155.22000122070312	155.9499969482422	143.4969482421875	16455600
2022-02-11	155.61000061035156	158.19000244140625	152.97000122070312	153.9199981689453	141.62904357910156	16830000
2022-02-14	152.72999572753906	153.67999267578125	150.32000732421875	152.49000549316406	140.31321716308594	17026500
2022-02-15	154.50999450683594	155.94000244140625	153.85000610351562	154.72000122070312	142.3651580810547	9500000
2022-02-16	153.74000549316406	156.10000610351562	153.74000549316406	155.0	142.62278747558594	9076500
2022-02-17	153.0	153.72999572753906	150.6699981689453	151.42999267578125	139.3378448486328	11367500
2022-02-18	152.1300048828125	154.13999938964844	151.1300048828125	152.13999938964844	139.9911651611328	11733300
2022-02-22	150.60000610351562	153.24000549316406	150.41000366210938	151.8699951171875	139.7427215576172	11333500
2022-02-23	153.1199951171875	153.3000030517578	147.97000122070312	148.69000244140625	136.8166961669922	11799000
2022-02-24	142.94000244140625	144.99000549316406	139.77999877929688	144.5500030517578	133.00726318359375	25655100
2022-02-25	145.25	150.1300048828125	144.91000366210938	147.97000122070312	136.15415954589844	18367700
2022-02-28	143.5500030517578	145.05999755859375	140.8800048828125	141.8000030517578	130.4768524169922	31315300
2022-03-01	140.0399932861328	140.47999572753906	133.5800018310547	136.4499969482422	125.55404663085938	36840400
2022-03-02	137.2899932861328	140.0399932861328	136.61000061035156	139.27999877929688	128.1580810546875	19405600
2022-03-03	139.83999633789062	140.97999572753906	137.05999755859375	138.2899932861328	127.24714660644531	16640800
2022-03-04	134.94000244140625	135.4199981689453	132.39999389648438	134.39999389648438	123.66776275634766	21016000
2022-03-07	132.1699981689453	132.69000244140625	128.9499969482422	129.2100067138672	118.89220428466797	27560100
